iter	TotalF1	MultiClass
462	0.9931729495	0.116031058
463	0.9933088771	0.1155844083
464	0.9933991652	0.1153235191
465	0.9933085875	0.1151154413
466	0.9933991652	0.1148876262
467	0.9934443652	0.1147922787
468	0.9935801131	0.1144189888
469	0.9936254395	0.1142333461
470	0.9936707142	0.1140789313
471	0.9936706396	0.1138097023
472	0.9936707352	0.1134790827
473	0.9938969315	0.1130749239
474	0.9939873556	0.1128286092
475	0.9943038393	0.1123135772
476	0.9942134842	0.1120637248
477	0.9941229283	0.1118373749
478	0.9941681635	0.1115029939
479	0.9942586106	0.1112661504
480	0.9942586642	0.1110054512
481	0.9941682649	0.1109228176
482	0.9942587168	0.1106129304
483	0.9942587601	0.1104820682
484	0.9943492362	0.1102380301
485	0.9945752694	0.1101037431
486	0.994484777	0.1099119901
487	0.9945751952	0.1096916678
488	0.9946657098	0.1092254673
489	0.9945298989	0.1087498474
490	0.994665518	0.108542496
491	0.9947559791	0.1083492592
492	0.9946203651	0.10776625
493	0.9947560994	0.1073191358
494	0.9948013745	0.1071210115
495	0.9948466505	0.1068374853
496	0.9948466638	0.1066286674
497	0.99493714	0.1063187943
498	0.9950275096	0.1059613165
499	0.995118	0.1054214012
500	0.9952988891	0.105006996
501	0.9953893414	0.1046543736
502	0.9954346355	0.104261046
503	0.9955249482	0.1040978753
504	0.9955249056	0.1037245966
505	0.9955700209	0.1035388075
506	0.9955699877	0.1034539822
507	0.9955699877	0.1033266714
508	0.9956604874	0.103115307
509	0.9956152703	0.1029104477
510	0.9956152703	0.1025492175
511	0.9956604603	0.102386899
512	0.9957055973	0.1021435901
513	0.9958412209	0.1019372384
514	0.9958412209	0.1017572539
515	0.9957508164	0.1015459703
516	0.9957959356	0.1012936939
517	0.9958865126	0.1010186384
518	0.9958412318	0.100781846
519	0.9958863601	0.1005923946
520	0.9959315821	0.1002524243
521	0.9958863601	0.09998577951
522	0.9959767716	0.09983329578
523	0.9959767704	0.09962880279
524	0.9961124538	0.09949745329
525	0.9961124209	0.09929575035
526	0.9961577221	0.09901222226
527	0.9962481005	0.09885181244
528	0.9962932882	0.09870935698
529	0.9962933487	0.09836864073
530	0.9963385446	0.09826107962
531	0.9962932922	0.09811270562
532	0.9962932922	0.09795315701
533	0.9963385111	0.0977978312
534	0.9965193201	0.097491531
535	0.99642895	0.09701783444
536	0.9965645966	0.09692352462
537	0.9965645179	0.09671082707
538	0.9966096931	0.09659721868
539	0.9966096931	0.09632843189
540	0.9966548461	0.09579362266
541	0.9966096398	0.09552320147
542	0.9967001144	0.09530893909
543	0.9967452734	0.09514538926
544	0.9966096703	0.0949463232
545	0.9966096703	0.09479332554
546	0.9967904995	0.09443402422
547	0.9968809563	0.09407813141
548	0.9967905015	0.09371804737
549	0.9968357045	0.09350467854
550	0.9968810128	0.09324732796
551	0.9968357547	0.09311855576
552	0.996926233	0.09293623259
553	0.997016612	0.09278347944
554	0.9970618133	0.0926307902
555	0.9970618133	0.09242963571
556	0.9971070868	0.0921909042
557	0.9971070567	0.09202267866
558	0.997061873	0.09166943826
559	0.9971975283	0.09140780472
560	0.9971522728	0.09129480209
561	0.9971974578	0.09108314903
562	0.9971974578	0.09089520838
563	0.9971975283	0.0906941672
564	0.9972879255	0.09055085539
565	0.9971974711	0.09017955251
566	0.9971974711	0.08998188251
567	0.9972426743	0.08981226303
568	0.9972426743	0.08969630039
569	0.9972426573	0.0893481868
570	0.9971974711	0.08921826119
571	0.9972878741	0.08911857914
572	0.9973783244	0.08879135388
573	0.9973783244	0.08860745018
574	0.9973331118	0.08833745417
575	0.9973783169	0.08823044698
576	0.9974235295	0.08798019579
577	0.9974235295	0.08776431894
578	0.997513957	0.08757728559
579	0.997513957	0.08741093096
580	0.997513957	0.08732585257
581	0.9974687076	0.08691665271
582	0.9974687076	0.08674928525
583	0.9974687076	0.08656440538
584	0.9974687076	0.08628968622
585	0.9974687076	0.08621125419
586	0.9974687076	0.08598352604
587	0.9975591394	0.08581247335
588	0.9976043419	0.0856495855
589	0.9975138867	0.08546539258
590	0.9975590891	0.08535225216
591	0.9975138867	0.08526848067
592	0.9975590891	0.08509458874
593	0.9975590891	0.08492111113
594	0.9975590891	0.08471039313
595	0.9975138765	0.08463991832
596	0.997468674	0.08441661785
597	0.9975591394	0.0841481761
598	0.9975591394	0.0839961278
599	0.9976043269	0.08386014885
600	0.9975590742	0.08368112264
601	0.9976042606	0.08341376288
602	0.9976042606	0.0831737535
603	0.9976042606	0.08294573576
604	0.9976495357	0.08257466909
605	0.9976947425	0.08243844281
606	0.9976947425	0.08232279303
607	0.9976947425	0.0822033472
608	0.9976495505	0.08201216443
609	0.9977399122	0.08185991785
610	0.9977851408	0.08167551884
611	0.9977399336	0.08157223173
612	0.9977851361	0.08143141333
613	0.9977851361	0.08131805364
614	0.9977851361	0.08118315078
615	0.9977851361	0.081070445
616	0.9978303261	0.08096601701
617	0.9978755696	0.0808284958
618	0.9978755696	0.08061394794
619	0.9978755696	0.08044981644
620	0.9978303623	0.08028673121
621	0.9978303623	0.08014882043
622	0.9978755696	0.07995674469
623	0.9979659783	0.07981625177
624	0.9980111564	0.07969651014
625	0.9980111564	0.07955680381
626	0.9980111564	0.07947829952
627	0.9980563608	0.07937543283
628	0.9980563608	0.07913811536
629	0.9981015584	0.07890809662
630	0.998146751	0.07874386142
631	0.998146751	0.0785536668
632	0.998146751	0.07843630803
633	0.998146751	0.07833477023
634	0.9981919486	0.07814275205
635	0.9981919486	0.07801410839
636	0.998237155	0.07781287169
637	0.998237155	0.07772260367
638	0.9982823435	0.07749991816
639	0.998372759	0.07724461106
640	0.9983275522	0.07717431421
641	0.998372759	0.07703806962
642	0.998372759	0.07672583393
643	0.998372759	0.07655628563
644	0.9983275522	0.07642584305
645	0.998372759	0.07633057613
646	0.998372759	0.07615926704
647	0.998372759	0.07602878832
648	0.9984631505	0.07590169243
649	0.9984631505	0.07571667339
650	0.9983727462	0.07550622702
651	0.9984179553	0.07538434907
652	0.9984179553	0.07521767987
653	0.9984179553	0.07504419495
654	0.9984631505	0.07497068173
655	0.9984631505	0.07461067767
656	0.9985083447	0.07433391202
657	0.9984631505	0.0741878806
658	0.9985535379	0.07398431767
659	0.9985083447	0.07377093348
660	0.9985083447	0.0736768343
661	0.998553528	0.07343507469
662	0.9985083337	0.07326630798
663	0.9985083456	0.073171819
664	0.9985535432	0.07306555557
665	0.9985987211	0.07294035381
666	0.9985987211	0.0728441661
667	0.9986439351	0.07272521246
668	0.9985987397	0.07255045427
669	0.9985987397	0.07244313754
670	0.9986439495	0.07231638275
671	0.9986439495	0.07226499696
672	0.9986891574	0.07206121942
673	0.9987795282	0.07178155037
674	0.9987795282	0.07165193402
675	0.998824724	0.07150772989
676	0.9988699387	0.07140505784
677	0.9988699387	0.0713258549
678	0.9988699387	0.07122350611
679	0.9988699387	0.07111227496
680	0.9988699513	0.07089311173
681	0.9988699513	0.07076834931
682	0.9989151516	0.07064085543
683	0.9989603625	0.070535655
684	0.9989151599	0.07033576269
685	0.9989603625	0.07014698952
686	0.9990055478	0.07002309356
687	0.9990507723	0.06977938388
688	0.9990507723	0.06969977422
689	0.9990959738	0.06962947839
690	0.999141191	0.06944836737
691	0.999141191	0.0692933259
692	0.999141191	0.06915862747
693	0.999141191	0.06902768428
694	0.9991411687	0.06885001754
695	0.9990959694	0.06869029364
696	0.9991863735	0.06851961632
697	0.9991411687	0.06843079748
698	0.9991863735	0.06833448117
699	0.9992315727	0.06825996201
700	0.9991411686	0.06805885083
701	0.9991411686	0.06798965238
702	0.9991411686	0.06788767912
703	0.9991411686	0.06777420404
704	0.9991411686	0.06765308299
705	0.9990959694	0.06753775652
706	0.9991411687	0.06743394112
707	0.9991863669	0.06728882684
708	0.9992315661	0.06718461052
709	0.9992315661	0.06700884772
710	0.9991863679	0.06678206536
711	0.9992315661	0.0667203225
712	0.9993219924	0.06655278972
713	0.9993219924	0.06645092742
714	0.9994123962	0.06619635309
715	0.9994123962	0.06607121744
716	0.9994123962	0.06593094659
717	0.9994123962	0.06585954709
718	0.9994123962	0.06571109807
719	0.9994123962	0.06561904998
720	0.9994576041	0.06555903877
721	0.9994123962	0.06543035244
722	0.9994124056	0.06536023084
723	0.9994124056	0.06529746543
724	0.9993672045	0.06523138238
725	0.9994576041	0.06510256403
726	0.9994124056	0.0649889734
727	0.9994576041	0.06488842187
728	0.9994576041	0.06474300746
729	0.9994576041	0.06468001456
730	0.9995028016	0.0645600723
731	0.9995028016	0.06441138561
732	0.9994576041	0.06432977183
733	0.9994576041	0.06419256558
734	0.9994576041	0.06407599947
735	0.9994576041	0.06390074554
736	0.9995028016	0.06379262877
737	0.9995028016	0.06374958052
738	0.9995028016	0.06364137923
739	0.9995480086	0.06353590254
740	0.9995480086	0.0634656247
741	0.9995480086	0.06337496282
742	0.9995932051	0.06319863238
743	0.9995932051	0.06314499699
744	0.9995932051	0.06303345538
745	0.9995932051	0.06293276441
746	0.9995480086	0.06286773641
747	0.9995480086	0.06273816767
748	0.9995480086	0.06266219838
749	0.9995932082	0.06253496643
750	0.9995932082	0.06240210043
751	0.999638407	0.06228216489
752	0.999638407	0.06215027861
753	0.999638407	0.06211088315
754	0.999638407	0.06206301854
755	0.999638407	0.06197920116
756	0.9995932051	0.0618747408
757	0.999638407	0.06181086409
758	0.999638407	0.06176585909
759	0.999638407	0.06170401863
760	0.999638407	0.0615742648
761	0.999638407	0.0614817569
762	0.9995932051	0.06137686412
763	0.9995932051	0.06127586304
764	0.999638407	0.06118250062
765	0.999638407	0.06101657525
766	0.9996836047	0.06085606042
767	0.999638407	0.06067201578
768	0.9996836047	0.06056167792
769	0.9996836047	0.06044980225
770	0.9996836047	0.06033347051
771	0.9996836047	0.06026450637
772	0.9996836047	0.06011613681
773	0.9996836047	0.06000845907
774	0.9996836047	0.05995218205
775	0.999638407	0.05987841386
776	0.999638407	0.0597948486
777	0.999638407	0.05973176274
778	0.9996836047	0.05965058358
779	0.9996836047	0.0594621833
780	0.9996836047	0.05930394736
