iter	Passed	Remaining
400	19591	29264
401	19634	29207
402	19674	29145
403	19712	29080
404	19749	29014
405	19787	28950
406	19825	28886
407	19862	28820
408	19901	28757
409	19940	28695
410	19979	28632
411	20019	28571
412	20059	28511
413	20105	28458
414	20146	28399
415	20191	28345
416	20246	28306
417	20289	28250
418	20332	28194
419	20376	28139
420	20416	28079
421	20458	28021
422	20496	27958
423	20535	27897
424	20575	27836
425	20614	27776
426	20653	27715
427	20697	27661
428	20734	27598
429	20773	27536
430	20811	27475
431	20848	27412
432	20885	27349
433	20924	27288
434	20965	27230
435	21002	27168
436	21044	27112
437	21083	27051
438	21121	26990
439	21160	26931
440	21200	26873
441	21242	26816
442	21292	26771
443	21330	26710
444	21368	26650
445	21406	26590
446	21443	26528
447	21482	26468
448	21521	26410
449	21558	26349
450	21597	26290
451	21634	26229
452	21688	26189
453	21733	26138
454	21771	26077
455	21810	26019
456	21847	25959
457	21886	25900
458	21926	25843
459	21963	25783
460	22001	25723
461	22042	25668
462	22086	25616
463	22133	25568
464	22175	25514
465	22218	25460
466	22261	25407
467	22313	25364
468	22360	25316
469	22403	25263
470	22449	25214
471	22490	25158
472	22529	25101
473	22568	25044
474	22610	24990
475	22651	24936
476	22688	24876
477	22731	24823
478	22773	24770
479	22813	24714
480	22852	24658
481	22888	24598
482	22928	24542
483	22965	24484
484	23003	24426
485	23041	24368
486	23079	24311
487	23116	24253
488	23159	24201
489	23198	24145
490	23239	24091
491	23278	24035
492	23318	23980
493	23369	23937
494	23407	23880
495	23444	23822
496	23485	23768
497	23523	23712
498	23562	23657
499	23604	23604
500	23644	23549
501	23683	23494
502	23721	23438
503	23763	23386
504	23821	23349
505	23866	23300
506	23911	23250
507	23954	23200
508	23991	23143
509	24036	23093
510	24078	23041
511	24119	22989
512	24160	22935
513	24202	22884
514	24245	22833
515	24287	22780
516	24330	22730
517	24377	22683
518	24433	22644
519	24471	22589
520	24511	22535
521	24552	22483
522	24592	22429
523	24637	22380
524	24674	22324
525	24712	22269
526	24752	22216
527	24791	22161
528	24828	22106
529	24874	22058
530	24916	22006
531	24956	21954
532	24993	21898
533	25030	21842
534	25071	21790
535	25109	21736
536	25146	21681
537	25185	21627
538	25226	21575
539	25263	21521
540	25300	21465
541	25341	21413
542	25379	21359
543	25419	21307
544	25470	21264
545	25509	21210
546	25546	21156
547	25588	21105
548	25627	21052
549	25665	20999
550	25705	20946
551	25742	20892
552	25780	20838
553	25819	20785
554	25859	20734
555	25900	20683
556	25941	20632
557	25982	20580
558	26027	20533
559	26070	20483
560	26115	20436
561	26157	20386
562	26200	20336
563	26245	20289
564	26288	20239
565	26334	20192
566	26380	20145
567	26421	20095
568	26461	20043
569	26512	20000
570	26550	19947
571	26588	19894
572	26627	19842
573	26671	19794
574	26712	19744
575	26750	19691
576	26791	19641
577	26829	19588
578	26868	19536
579	26910	19486
580	26949	19435
581	26996	19389
582	27033	19336
583	27071	19283
584	27112	19233
585	27149	19180
586	27189	19129
587	27226	19076
588	27263	19024
589	27302	18972
590	27339	18920
591	27376	18867
592	27413	18814
593	27450	18762
594	27489	18711
595	27531	18662
596	27582	18619
597	27623	18569
598	27660	18517
599	27699	18466
600	27740	18416
601	27778	18364
602	27817	18314
603	27856	18263
604	27897	18214
605	27937	18164
606	27979	18115
607	28025	18068
608	28071	18023
609	28113	17974
610	28158	17927
611	28202	17879
612	28244	17831
613	28286	17782
614	28329	17734
615	28374	17688
616	28415	17638
617	28455	17588
618	28495	17539
619	28535	17489
620	28576	17440
621	28627	17397
622	28666	17347
623	28706	17297
624	28744	17246
625	28785	17197
626	28824	17147
627	28864	17098
628	28907	17050
629	28945	16999
630	28985	16950
631	29027	16902
632	29067	16852
633	29108	16803
634	29148	16754
635	29188	16705
636	29227	16655
637	29265	16605
638	29303	16554
639	29343	16505
640	29381	16455
641	29421	16406
642	29461	16357
643	29499	16307
644	29538	16257
645	29574	16206
646	29612	16156
647	29660	16111
648	29700	16063
649	29739	16013
650	29776	15962
651	29818	15915
652	29859	15867
653	29901	15819
654	29938	15768
655	29980	15721
656	30026	15675
657	30072	15630
658	30121	15586
659	30166	15540
660	30209	15493
661	30254	15447
662	30294	15398
663	30337	15351
664	30379	15304
665	30418	15255
666	30457	15206
667	30498	15157
668	30537	15108
669	30574	15059
670	30611	15009
671	30650	14960
672	30691	14912
673	30748	14872
674	30786	14823
675	30825	14774
676	30866	14726
677	30905	14677
678	30945	14629
679	30985	14581
680	31024	14532
681	31064	14484
682	31101	14435
683	31142	14387
684	31186	14341
685	31226	14293
686	31263	14243
687	31303	14195
688	31340	14146
689	31378	14097
690	31417	14049
691	31455	14000
692	31494	13952
693	31534	13904
694	31574	13856
695	31613	13808
696	31652	13760
697	31691	13711
698	31730	13663
699	31781	13620
700	31838	13580
701	31877	13532
702	31915	13483
703	31956	13436
704	31998	13389
705	32042	13343
706	32085	13297
707	32128	13250
708	32172	13204
709	32219	13160
710	32271	13117
711	32315	13071
712	32362	13026
713	32407	12981
714	32446	12933
715	32487	12886
716	32526	12838
717	32564	12789
718	32606	12743
719	32644	12694
720	32685	12647
721	32724	12600
722	32764	12552
723	32803	12505
724	32855	12462
725	32900	12416
726	32964	12378
727	33023	12338
728	33086	12299
729	33152	12261
730	33198	12216
731	33242	12170
732	33290	12126
733	33333	12079
734	33374	12033
735	33419	11987
736	33461	11940
737	33497	11892
738	33535	11844
739	33575	11796
740	33612	11748
741	33651	11700
742	33692	11653
743	33729	11605
744	33767	11557
745	33803	11509
746	33842	11461
747	33891	11417
748	33930	11370
749	33971	11323
750	34013	11277
751	34057	11231
752	34100	11185
753	34141	11138
754	34184	11093
755	34229	11047
756	34278	11003
757	34320	10957
758	34361	10910
759	34399	10863
760	34441	10816
761	34480	10769
762	34519	10722
763	34556	10674
764	34594	10626
765	34632	10579
766	34673	10533
767	34715	10486
768	34754	10440
769	34794	10393
770	34833	10346
771	34889	10304
772	34931	10257
773	34969	10210
774	35007	10163
775	35044	10115
776	35084	10069
777	35123	10022
778	35163	9975
779	35206	9930
780	35243	9882
781	35279	9834
782	35319	9788
783	35355	9740
784	35394	9694
785	35434	9647
786	35471	9600
787	35508	9553
788	35548	9506
789	35586	9459
790	35623	9412
791	35662	9365
792	35702	9319
793	35741	9273
794	35781	9226
795	35824	9181
796	35887	9140
797	35931	9095
798	35975	9050
799	36021	9005
800	36067	8960
801	36113	8915
802	36153	8869
803	36195	8823
804	36234	8777
805	36273	8730
806	36313	8684
807	36356	8639
808	36396	8592
809	36433	8546
810	36470	8499
811	36510	8453
812	36547	8406
813	36585	8359
814	36626	8314
815	36665	8267
816	36703	8221
817	36741	8174
818	36779	8128
819	36818	8082
820	36857	8035
821	36918	7994
822	36955	7947
823	36993	7901
824	37030	7854
825	37068	7808
826	37110	7763
827	37150	7717
828	37188	7671
829	37226	7624
830	37263	7578
831	37305	7532
832	37344	7486
833	37386	7441
834	37426	7395
835	37467	7350
836	37506	7304
837	37542	7257
838	37581	7211
839	37618	7165
840	37657	7119
841	37697	7073
842	37737	7028
843	37780	6983
844	37823	6938
845	37865	6892
846	37921	6850
847	37964	6804
848	38008	6759
849	38050	6714
850	38092	6669
851	38135	6624
852	38172	6578
853	38210	6532
854	38252	6487
855	38290	6441
856	38330	6395
857	38373	6350
858	38412	6305
859	38453	6259
860	38492	6214
861	38532	6168
862	38573	6123
863	38613	6077
864	38650	6032
865	38688	5986
866	38726	5940
867	38763	5894
868	38800	5849
869	38839	5803
870	38875	5757
871	38916	5712
872	38969	5669
873	39009	5623
874	39047	5578
875	39087	5532
876	39125	5487
877	39162	5441
878	39201	5396
879	39238	5350
880	39274	5305
881	39318	5260
882	39359	5215
883	39398	5169
884	39436	5124
885	39474	5079
886	39513	5033
887	39550	4988
888	39588	4942
889	39643	4899
890	39693	4855
891	39743	4811
892	39788	4767
893	39836	4723
894	39879	4678
895	39921	4633
896	39977	4590
897	40022	4545
898	40063	4501
899	40104	4456
900	40141	4410
901	40179	4365
902	40216	4320
903	40256	4275
904	40297	4230
905	40336	4185
906	40373	4139
907	40415	4094
908	40453	4049
909	40491	4004
