iter	Passed	Remaining
400	21068	31471
401	21129	31431
402	21187	31386
403	21261	31366
404	21336	31346
405	21397	31305
406	21444	31244
407	21494	31187
408	21539	31124
409	21582	31058
410	21624	30989
411	21668	30924
412	21721	30872
413	21774	30821
414	21834	30778
415	21918	30770
416	22004	30763
417	22085	30751
418	22152	30717
419	22207	30667
420	22292	30659
421	22348	30610
422	22400	30556
423	22464	30517
424	22523	30472
425	22573	30416
426	22618	30352
427	22668	30294
428	22716	30236
429	22764	30175
430	22809	30113
431	22855	30051
432	22909	29999
433	22989	29981
434	23042	29928
435	23095	29875
436	23146	29820
437	23198	29766
438	23254	29717
439	23305	29661
440	23352	29600
441	23395	29534
442	23450	29484
443	23502	29431
444	23560	29384
445	23608	29325
446	23652	29261
447	23694	29194
448	23741	29134
449	23793	29081
450	23843	29024
451	23895	28970
452	23943	28912
453	24007	28872
454	24372	29192
455	24420	29133
456	24468	29073
457	24527	29026
458	24617	29015
459	24672	28963
460	24725	28909
461	24773	28849
462	24821	28789
463	24876	28737
464	24928	28680
465	24985	28632
466	25042	28581
467	25090	28521
468	25139	28462
469	25184	28399
470	25245	28354
471	25296	28298
472	25341	28234
473	25397	28184
474	25474	28156
475	25530	28105
476	25584	28051
477	25642	28003
478	25697	27951
479	25749	27895
480	25797	27835
481	25842	27772
482	25888	27710
483	25933	27648
484	25982	27589
485	26025	27524
486	26068	27460
487	26113	27397
488	26154	27331
489	26200	27269
490	26245	27207
491	26289	27144
492	26331	27078
493	26373	27014
494	26415	26949
495	26460	26887
496	26505	26824
497	26581	26795
498	26628	26735
499	26671	26671
500	26714	26608
501	26758	26545
502	26801	26482
503	26876	26449
504	26951	26418
505	27022	26382
506	27084	26336
507	27156	26301
508	27204	26242
509	27257	26188
510	27306	26131
511	27357	26074
512	27409	26020
513	27458	25963
514	27507	25904
515	27552	25843
516	27599	25784
517	27669	25746
518	27715	25686
519	27758	25623
520	27804	25563
521	27852	25504
522	27895	25441
523	27941	25381
524	27988	25322
525	28035	25264
526	28088	25210
527	28142	25157
528	28210	25117
529	28266	25066
530	28314	25008
531	28367	24955
532	28435	24914
533	28514	24883
534	28590	24849
535	28705	24849
536	28804	24835
537	28932	24845
538	28990	24795
539	29040	24738
540	29086	24677
541	29130	24616
542	29176	24555
543	29229	24501
544	29273	24439
545	29316	24376
546	29357	24312
547	29401	24250
548	29449	24192
549	29492	24129
550	29543	24074
551	29586	24012
552	29630	23951
553	29677	23891
554	29722	23831
555	29765	23769
556	29809	23708
557	29858	23651
558	29910	23596
559	29991	23564
560	30039	23506
561	30087	23448
562	30129	23386
563	30172	23325
564	30220	23267
565	30262	23204
566	30306	23144
567	30350	23083
568	30395	23023
569	30443	22965
570	30493	22910
571	30535	22848
572	30578	22787
573	30621	22726
574	30664	22665
575	30710	22606
576	30758	22549
577	30800	22487
578	30846	22428
579	30889	22368
580	30933	22308
581	30976	22247
582	31027	22192
583	31108	22159
584	31152	22099
585	31208	22048
586	31261	21994
